County,State, In-Migration , Out-Migration , Net Migration , +/- , Rank 
Middlesex,Massachusetts,93530.4532187133,91588.8700000589,1941.5832186544,33136.3492308227,354
Sevier,Tennessee,1932.2232768457,0,1932.2232768457,4740.0931419897,355
Orangeburg,South Carolina,1931.6257811872,0,1931.6257811872,1039.928023125,356
Delaware,Ohio,1926.4604512987,0,1926.4604512987,1277.3980686681,357
St Charles,Missouri,1924.6579955856,0,1924.6579955856,1547.7484914199,358
Hampshire,Massachusetts,1899.8622712181,0,1899.8622712181,2578.1066607346,359
El Dorado,California,1873.4878329251,0,1873.4878329251,4201.7285847877,360
Belknap,New Hampshire,1870.3615281468,0,1870.3615281468,1150.1490635009,361
Wilson,Tennessee,1869.7558618933,0,1869.7558618933,331.2224544039,362
Hill,Texas,1860.294899065,0,1860.294899065,307.2129332689,363
Broomfield,Colorado,1850.2640612444,0,1850.2640612444,1046.3350902668,364
Genesee,Michigan,1844.4246949035,0,1844.4246949035,1844.1339680834,365
Dakota,Minnesota,1780.1875415606,0,1780.1875415606,1206.7593474878,366
Moore,North Carolina,1767.5906962222,0,1767.5906962222,2592.2253463339,367
Fremont,Wyoming,1762.751149826,0,1762.751149826,108.8005838011,368
Stark,Ohio,1758.0401208849,0,1758.0401208849,1662.2380882511,369
Roanoke City,Virginia,1749.6088442434,0,1749.6088442434,771.8581068294,370
Vernon,Louisiana,1747.0141602017,0,1747.0141602017,998.743011438,371
Cumberland,Pennsylvania,1746.0570314591,0,1746.0570314591,2730.2975328705,372
Escambia,Alabama,1741.5850742348,0,1741.5850742348,551.7049158317,373
Albemarle,Virginia,1734.6443167584,0,1734.6443167584,2999.7066864717,374
Williamsburg,South Carolina,2044.8777189987,333.5000000003,1711.3777189984,1526.3873677053,375
Sumter,South Carolina,1695.7396595294,0,1695.7396595294,1541.4171153318,376
Washington,Arkansas,1691.645355197,0,1691.645355197,909.4448275306,377
De Soto,Mississippi,1663.3083964773,0,1663.3083964773,3395.597039525,378
Polk,Iowa,1662.9485252749,0,1662.9485252749,1218.4700332345,379
Bradley,Tennessee,1653.7527858912,0,1653.7527858912,1830.956150133,380
Kent,Rhode Island,7487.2971453105,5834.420000015,1652.8771452955,4752.2580421503,381
Grafton,New Hampshire,1646.9998690864,0,1646.9998690864,1244.0827120579,382
Tompkins,New York,1625.2056245679,0,1625.2056245679,1458.3307579979,383
Clarke,Georgia,1595.966837427,0,1595.966837427,1540.4452374503,384
Columbus,North Carolina,1740.5756375038,145.1299999983,1595.4456375055,471.7587595186,385
Lucas,Ohio,1579.0204792413,0,1579.0204792413,1906.6908827248,386
Cochise,Arizona,1575.1511293598,0,1575.1511293598,1649.5244706006,387
Berkeley,West Virginia,1573.1745242799,0,1573.1745242799,839.4909346775,388
Dona Ana,New Mexico,1569.7422287575,0,1569.7422287575,1319.0390229023,389
Penobscot,Maine,1868.0614681287,304.0600000011,1564.0014681276,1850.0573454572,390
McHenry,Illinois,1560.0677999354,0,1560.0677999354,1208.1024121776,391
Thomas,Georgia,1559.5921152331,0,1559.5921152331,562.8634666668,392
Forrest,Mississippi,1549.0834569501,0,1549.0834569501,2164.5100672289,393
Middlesex,Virginia,2700.585308723,1162.19,1538.395308723,744.5467949079,394
Maui,Hawaii,1532.595221686,0,1532.595221686,1589.6331087472,395
Park,Wyoming,1511.8522408072,0,1511.8522408072,88.4320799569,396
Waukesha,Wisconsin,1505.8757639316,0,1505.8757639316,1115.3710594796,397
Hardee,Florida,1496.1224574041,0,1496.1224574041,518.8248975586,398
Berkshire,Massachusetts,1464.2179777326,0,1464.2179777326,2027.5212636632,399
Madison,Florida,1460.583903845,0,1460.583903845,557.3743045397,400
Orange,North Carolina,1455.6140330096,0,1455.6140330096,2904.5164065845,401
Alamance,North Carolina,1423.9844242659,0,1423.9844242659,1839.802755689,402
Yuma,Arizona,1402.0496106589,0,1402.0496106589,1164.3575436755,403
Catawba,North Carolina,1382.2437638537,0,1382.2437638537,2482.2634338002,404
Cumberland,Tennessee,1377.8779842036,0,1377.8779842036,3220.2015117197,405
Santa Fe,New Mexico,1370.8503795306,0,1370.8503795306,1408.1315124743,406
Avoyelles,Louisiana,1365.3911922855,0,1365.3911922855,1824.3369140282,407
Weld,Colorado,1362.6367295111,0,1362.6367295111,379.5978275256,408
Benton,Washington,1359.842167774,0,1359.842167774,824.976358895,409
Calhoun,Florida,1359.335839756,0,1359.335839756,545.1409477233,410
Ford,Kansas,1350.049851,0,1350.049851,542.5275926638,411
York,Maine,9857.1680383841,8523.1899999765,1333.9780384076,3096.5951189,412
Fairbanks North Star,Alaska,1312.7871414544,0,1312.7871414544,3100.7464721731,413
Westmoreland,Pennsylvania,1312.2952610461,0,1312.2952610461,1153.6136478549,414
Greene,Missouri,1302.4344616365,0,1302.4344616365,915.8070959381,415
Stanislaus,California,1299.802161762,0,1299.802161762,12084.0128601932,416
Walthall,Mississippi,1295.061758511,0,1295.061758511,913.4034320379,417
Sweetwater,Wyoming,1282.2499762672,0,1282.2499762672,57.4207506425,418
Lebanon,Pennsylvania,1264.021541019,0,1264.021541019,1631.6764376722,419
Mahoning,Ohio,1257.6455458139,0,1257.6455458139,871.4771912737,420
Kalamazoo,Michigan,1249.1420329292,0,1249.1420329292,896.9555685969,421
Bartow,Georgia,1248.406350164,0,1248.406350164,975.9120178338,422
Campbell,Wyoming,1232.5361955787,0,1232.5361955787,83.1415649925,423
Curry,New Mexico,1226.2300601054,0,1226.2300601054,467.2651327527,424
Pulaski,Missouri,1224.1512331401,0,1224.1512331401,661.8507482684,425
Cowlitz,Washington,2350.7890858207,1128.7600000003,1222.0290858204,1633.0130750326,426
Lake,Indiana,1221.7763449334,0,1221.7763449334,971.8709749248,427
Platte,Nebraska,1221.2323497146,0,1221.2323497146,82.6792351127,428
Tehama,California,1219.2536425446,0,1219.2536425446,439.4701560001,429
Madison,Mississippi,1215.415394412,0,1215.415394412,719.1759650447,430
Holmes,Florida,1213.9561103257,0,1213.9561103257,445.013321252,431
Manassas Park City,Virginia,1185.7966709106,0,1185.7966709106,1072.480093203,432
Russell,Alabama,1185.7661975559,0,1185.7661975559,798.0404347551,433
Gaston,North Carolina,1180.7032721555,0,1180.7032721555,3881.819617177,434
Jones,North Carolina,1461.7049845453,295.2299999954,1166.4749845499,1502.5317643018,435
Walton,Georgia,1161.922111036,0,1161.922111036,1418.0034724274,436
Lorain,Ohio,1156.4126868864,0,1156.4126868864,772.4756834667,437
Coffee,Georgia,1152.616990194,0,1152.616990194,168.0643362035,438
Allen,Indiana,1150.5975659434,0,1150.5975659434,2389.5412070794,439
Robeson,North Carolina,1149.9982950061,0,1149.9982950061,208.9028003535,440
Lynchburg City,Virginia,1133.1131690035,0,1133.1131690035,1099.589781496,441
Summit,Utah,1132.9751933525,0,1132.9751933525,478.9099025967,442
Jim Wells,Texas,1130.496626268,0,1130.496626268,526.0123886328,443
Ottawa,Michigan,1121.5701825079,0,1121.5701825079,471.0187204281,444
Erie,Pennsylvania,1118.6896390845,0,1118.6896390845,1497.6497267493,445
Petersburg City,Virginia,1117.3510857528,0,1117.3510857528,893.4411155918,446
Teton,Wyoming,1113.5377196045,0,1113.5377196045,194.7785351574,447
Maury,Tennessee,1103.5062041755,0,1103.5062041755,743.1255775846,448
Lincoln,South Dakota,1102.220114046,0,1102.220114046,108.1699634453,449
Lake,Ohio,1092.9521653231,0,1092.9521653231,891.0674492358,450
Spalding,Georgia,1090.168240132,0,1090.168240132,392.669937678,451
Ingham,Michigan,1073.6914396274,0,1073.6914396274,1680.8306841289,452
Minnehaha,South Dakota,1064.614993676,0,1064.614993676,5633.8027734488,453
Ware,Georgia,1063.8558956055,0,1063.8558956055,2008.2380334973,454
Franklin City,Virginia,2232.963318734,1172.187371148,1060.775947586,1337.938860958,455
Butte,California,1060.4179895582,0,1060.4179895582,1833.1880924039,456
Hendricks,Indiana,1054.453339655,0,1054.453339655,2419.2880224309,457
Sheridan,Wyoming,1053.2247442358,0,1053.2247442358,86.1670040125,458
Evangeline,Louisiana,1050.8544756128,0,1050.8544756128,1305.2437440265,459
Lawrence,South Dakota,1048.60497955,0,1048.60497955,73.0987150415,460
Hampton,South Carolina,1498.14357891,450.4400000012,1047.7035789088,656.9268412814,461
Sabine,Louisiana,1046.00019346,0,1046.00019346,178.3196697308,462
Clay,Missouri,1038.0991661942,0,1038.0991661942,642.0587605255,463
Livingston,Michigan,1033.3504940403,0,1033.3504940403,417.8146863685,464
Madison,Tennessee,1026.1537054928,0,1026.1537054928,200.2741565025,465
San Luis Obispo,California,3469.7139511051,2444.2400000021,1025.473951103,3477.13426001,466
Davis,Utah,1016.9874752305,0,1016.9874752305,1112.7659483826,467
Matanuska Susitna,Alaska,1011.0165134823,0,1011.0165134823,186.4267804277,468
Washington,Alabama,1000.14834621,0,1000.14834621,487.6384156896,469
Champaign,Illinois,995.6776334044,0,995.6776334044,623.1690673305,470
Oxford,Maine,988.8224842453,0,988.8224842453,797.1380076693,471
Davidson,North Carolina,988.7405241919,0,988.7405241919,852.5080705234,472
Rowan,North Carolina,978.0598231892,0,978.0598231892,1589.6266608702,473
Coffee,Alabama,976.2193206197,0,976.2193206197,850.4731358399,474
Sandoval,New Mexico,975.9176585481,0,975.9176585481,1870.962704252,475
Niagara,New York,965.9960110788,0,965.9960110788,748.417308621,476
Oneida,New York,963.3452147341,0,963.3452147341,1532.539163983,477
Trumbull,Ohio,963.060666608,0,963.060666608,1510.3837845297,478
Angelina,Texas,958.0226658801,0,958.0226658801,723.5143744175,479
Bedford,Virginia,954.0284389509,0,954.0284389509,737.9116554972,480
Brookings,South Dakota,943.550804023,0,943.550804023,70.6266185436,481
Carson City,Nevada,940.770543494,0,940.770543494,141.0542001195,482
Peoria,Illinois,938.2829391872,0,938.2829391872,433.0370389369,483
Josephine,Oregon,937.0674755936,0,937.0674755936,1061.8031261273,484
Taylor,Texas,927.7571276468,0,927.7571276468,3795.1916616831,485
St Joseph,Indiana,913.5998478846,0,913.5998478846,1517.911271818,486
Lincoln,Louisiana,910.9334333358,0,910.9334333358,1176.7446344313,487
Tom Green,Texas,909.5949668112,0,909.5949668112,702.2146820823,488
Lubbock,Texas,893.7938119264,0,893.7938119264,1375.2984271985,489
Mclean,Illinois,890.2585730302,0,890.2585730302,331.6290975789,490
Clarke,Alabama,879.882329707,0,879.882329707,195.1819057365,491
Sampson,North Carolina,870.301117022,0,870.301117022,234.7909916646,492
Waller,Texas,869.4439202254,0,869.4439202254,111.764508947,493
Kershaw,South Carolina,859.2963011108,0,859.2963011108,298.8604440834,494
Nash,North Carolina,852.8251217763,0,852.8251217763,2546.9518827303,495
Loudon,Tennessee,836.9551967313,0,836.9551967313,196.5020346412,496
Pike,Mississippi,834.0971524374,0,834.0971524374,1665.6933871228,497
Kenton,Kentucky,833.4368631204,0,833.4368631204,491.4612188747,498
Linn,Oregon,828.4638048459,0,828.4638048459,890.0827964741,499
Elmore,Alabama,825.5152696104,0,825.5152696104,597.7306769529,500
Brown,South Dakota,823.1666042369,0,823.1666042369,96.9743519116,501
Cheshire,New Hampshire,822.3649251506,0,822.3649251506,1523.7293335671,502
Lyon,Nevada,820.8010130498,0,820.8010130498,784.1732948745,503
Scott,Iowa,813.0595287416,0,813.0595287416,4651.3243690838,504
Ulster,New York,2373.6973069177,1561.7000000088,811.9973069089,2935.7340690391,505
Orange,Virginia,805.1576611156,0,805.1576611156,853.9682781287,506
Jefferson,West Virginia,798.575083082,0,798.575083082,539.8821983033,507
Jackson,Texas,1161.502659443,372.3700000057,789.1326594373,384.8213305036,508
King William,Virginia,2276.8465105288,1490.469999987,786.3765105418,1654.0793186238,509
Boone,Missouri,782.1738339004,0,782.1738339004,453.2032029734,510
Curry,Oregon,1204.9617283417,423.0400000035,781.9217283382,549.3132742699,511
Washington,Tennessee,769.151189339,0,769.151189339,2090.2079155738,512
Winchester City,Virginia,768.51419521,0,768.51419521,697.4140144487,513
Wilson,North Carolina,764.4972482391,0,764.4972482391,955.9819974424,514
Butler,Pennsylvania,762.4684626828,0,762.4684626828,554.4935871891,515
Greene,Ohio,758.3400594448,0,758.3400594448,1093.5486579036,516
St Clair,Alabama,750.715579594,0,750.715579594,248.990200654,517
Douglas,Nevada,747.7801674911,0,747.7801674911,1011.4356398463,518
Carroll,New Hampshire,740.862203824,0,740.862203824,1291.4717379887,519
Darlington,South Carolina,735.7573219725,0,735.7573219725,300.1074999878,520
Warren,Mississippi,735.5739719942,0,735.5739719942,292.7579694974,521
Acadia,Louisiana,7178.5025230394,6448.240000002,730.2625230374,2025.4701961214,522
Juneau,Alaska,721.0693138134,0,721.0693138134,182.859640327,523
Tift,Georgia,706.2650965254,0,706.2650965254,165.8222914118,524
Putnam,Tennessee,695.7682331731,0,695.7682331731,1536.685412914,525
Covington,Alabama,693.693382463,0,693.693382463,456.2529359584,526
Comanche,Oklahoma,686.3500006214,0,686.3500006214,1309.7000071146,527
Boone,Kentucky,685.6595887429,0,685.6595887429,271.7614658243,528
Lafayette,Mississippi,678.8503713339,0,678.8503713339,915.3543406757,529
Tulare,California,677.0679315223,0,677.0679315223,2033.0943645662,530
Waldo,Maine,891.1458419797,219.3199999993,671.8258419804,508.0300220065,531
Randolph,North Carolina,664.8552475525,0,664.8552475525,777.1584361986,532
Ellis,Texas,664.1428924393,0,664.1428924393,244.3615866692,533
Grady,Georgia,659.6050725834,0,659.6050725834,249.1542148771,534
Oconee,South Carolina,659.3588418469,0,659.3588418469,2067.4412080219,535
Cherokee,North Carolina,649.559756419,0,649.559756419,2457.542629615,536
Christian,Kentucky,646.6415679329,0,646.6415679329,2117.7341618613,537
Anoka,Minnesota,642.6736941401,0,642.6736941401,140.4720780366,538
Monroe,Indiana,642.3251615382,0,642.3251615382,1225.2075027977,539
Gallatin,Montana,635.0790175095,0,635.0790175095,307.6392437441,540
Jackson,Michigan,624.601272066,0,624.601272066,222.9341807474,541
Rockwall,Texas,624.3347148131,0,624.3347148131,183.1720358958,542
Brown,Wisconsin,622.5839130863,0,622.5839130863,627.6546536054,543
East Feliciana,Louisiana,620.41832533,0,620.41832533,453.6574898064,544
Staunton City,Virginia,620.380781806,0,620.380781806,515.295837251,545
Raleigh,West Virginia,619.832385155,0,619.832385155,104.4431288508,546
Lake,California,616.9812778344,0,616.9812778344,847.209679318,547
Johnson,Iowa,611.6617518644,0,611.6617518644,393.1018951062,548
Centre,Pennsylvania,607.0599132177,0,607.0599132177,975.4289820642,549
Sublette,Wyoming,605.15067635,0,605.15067635,65.853769655,550
Muskegon,Michigan,592.8924573907,0,592.8924573907,652.1439191007,551
Washington,Minnesota,590.0841464784,0,590.0841464784,569.4461290939,552
San Jacinto,Texas,587.178245609,0,587.178245609,27.6530954194,553
Nye,Nevada,586.6150390551,0,586.6150390551,168.0293607483,554
Elko,Nevada,577.6671189239,0,577.6671189239,268.0391304778,555
Marion,South Carolina,747.5124976373,172.0300000005,575.4824976368,255.4606941608,556
Linn,Iowa,574.2451886358,0,574.2451886358,692.2644321327,557
Franklin,Massachusetts,574.1721326243,0,574.1721326243,927.3668066317,558
Johnson,Indiana,573.3668491116,0,573.3668491116,670.812888269,559
Sullivan,Tennessee,570.814399635,0,570.814399635,771.2565124533,560
Canyon,Idaho,567.2942727255,0,567.2942727255,886.0538797679,561
Tippecanoe,Indiana,563.8148151461,0,563.8148151461,303.6811776937,562
Yuba,California,557.2823642062,0,557.2823642062,586.5129776473,563
Northampton,North Carolina,583.3354755628,26.0999999995,557.2354755633,176.9520856248,564
Hughes,South Dakota,552.463263482,0,552.463263482,81.3244213544,565
Kootenai,Idaho,549.7845727946,0,549.7845727946,1151.3747624389,566
Ward,North Dakota,546.9716072639,0,546.9716072639,126.5800472297,567
Prince George,Virginia,612.1660818168,69.3699999997,542.7960818171,1307.1197286715,568
Porter,Indiana,542.378440062,0,542.378440062,352.3311783917,569
Calhoun,Alabama,541.234900394,0,541.234900394,638.2125147449,570
Bullitt,Kentucky,539.51962723,0,539.51962723,41.4304866971,571
Floyd,Georgia,539.2013356815,0,539.2013356815,600.8550094587,572
Transylvania,North Carolina,538.5175855253,0,538.5175855253,887.2879890874,573
Carbon,Wyoming,538.355175723,0,538.355175723,73.4613678422,574
Berrien,Michigan,536.0261637688,0,536.0261637688,872.1544770129,575
Gregg,Texas,535.7505645884,0,535.7505645884,302.9787084558,576
Mohave,Arizona,535.1502780178,0,535.1502780178,1765.8749520666,577
Medina,Ohio,522.9994422053,0,522.9994422053,774.4825382902,578
Haywood,North Carolina,522.4314516533,0,522.4314516533,1901.963920338,579
Union,South Dakota,520.57731005,0,520.57731005,86.159274301,580
Etowah,Alabama,520.216394546,0,520.216394546,92.0306510152,581
Warren,Virginia,518.8275042006,0,518.8275042006,541.851380905,582
Wharton,Texas,517.1933579722,0,517.1933579722,269.1997238132,583
Kerr,Texas,515.3637730023,0,515.3637730023,353.5138550766,584
Jefferson,Missouri,514.032770877,0,514.032770877,76.2704931915,585
Kenai Peninsula,Alaska,507.891625568,0,507.891625568,103.9692330939,586
Decatur,Georgia,501.911883346,0,501.911883346,1048.9032727562,587
Gilmer,Georgia,501.6429257828,0,501.6429257828,859.6322226371,588
Watauga,North Carolina,498.4438973602,0,498.4438973602,703.550574771,589
Parker,Texas,497.3746115397,0,497.3746115397,195.1683136193,590
Winnebago,Illinois,495.151528645,0,495.151528645,570.7501985701,591
Sebastian,Arkansas,493.155803865,0,493.155803865,619.2448143108,592
Yamhill,Oregon,492.1549342129,0,492.1549342129,328.4457827929,593
Laurens,Georgia,491.770717517,0,491.770717517,238.5593111824,594
Polk,Texas,486.42429009,0,486.42429009,1454.8114510853,595
Bowie,Texas,483.09144316,0,483.09144316,90.3282539565,596
Bastrop,Texas,471.9923865782,0,471.9923865782,895.6056114861,597
Bee,Texas,468.720407124,0,468.720407124,474.668155712,598
Warren,Kentucky,468.3949921077,0,468.3949921077,536.3805002403,599
Colquitt,Georgia,466.331347134,0,466.331347134,797.2347569199,600
Kenosha,Wisconsin,465.081637483,0,465.081637483,388.5641665567,601
Chatham,North Carolina,462.7186591065,0,462.7186591065,1132.1680009839,602
Douglas,Oregon,1905.8121025854,1445.9199999916,459.8921025938,1873.4622185331,603
Jones,Mississippi,454.564592746,0,454.564592746,1000.7334067822,604
Gilchrist,Florida,784.5107628585,342.1800000046,442.3307628539,1489.6571729921,605
Screven,Georgia,437.995843308,0,437.995843308,132.0794072897,606
St Louis,Minnesota,436.3730141939,0,436.3730141939,189.2556866803,607
Lincoln,North Carolina,432.6624812353,0,432.6624812353,1319.9542844796,608
Surry,Virginia,766.1863191972,334.6999999981,431.4863191991,556.7718681154,609
Waynesboro City,Virginia,429.7595673549,0,429.7595673549,262.6131037482,610
Kaufman,Texas,424.2128053998,0,424.2128053998,126.3672832252,611
Lancaster,Nebraska,423.2000345485,0,423.2000345485,698.8770504711,612
Riley,Kansas,422.2230864153,0,422.2230864153,342.2080233608,613
Harrison,Texas,421.305292756,0,421.305292756,120.4108909075,614
Oktibbeha,Mississippi,420.692423911,0,420.692423911,310.4886488726,615
Wichita,Texas,416.6466122772,0,416.6466122772,1809.1708507909,616
St Clair,Michigan,416.5789497624,0,416.5789497624,257.4765365469,617
Wayne,Ohio,414.76686315,0,414.76686315,61.0525964023,618
Johnson,Texas,409.685234841,0,409.685234841,153.8517318309,619
Monroe,Michigan,406.9854811612,0,406.9854811612,214.2678679661,620
Cass,North Dakota,405.3649815365,0,405.3649815365,92.6939798159,621
Towns,Georgia,403.682937022,0,403.682937022,133.8948487761,622
Sangamon,Illinois,398.8697408416,0,398.8697408416,247.3157953295,623
Dale,Alabama,394.5118201621,0,394.5118201621,473.7220864223,624
Kauai,Hawaii,392.8209414512,0,392.8209414512,396.4521205792,625
Fannin,Georgia,391.1396416068,0,391.1396416068,919.0186302844,626
Vanderburgh,Indiana,386.9543627656,0,386.9543627656,629.4997564862,627
Licking,Ohio,385.602912717,0,385.602912717,330.8837276028,628
Platte,Missouri,384.0584547135,0,384.0584547135,240.0570003783,629
McMinn,Tennessee,378.3646269252,0,378.3646269252,397.3533647633,630
Newberry,South Carolina,375.916791434,0,375.916791434,116.584248141,631
Troup,Georgia,373.6117786565,0,373.6117786565,40.2764617935,632
Monroe,Alabama,370.231670656,0,370.231670656,100.332365167,633
Crisp,Georgia,369.133283523,0,369.133283523,65.9815039285,634
Hoke,North Carolina,368.5385527326,0,368.5385527326,102.3893684451,635
West Feliciana,Louisiana,366.7908091623,0,366.7908091623,101.3619091266,636
Live Oak,Texas,366.1672431573,0,366.1672431573,66.7954811032,637
Charlottesville City,Virginia,364.7609427824,0,364.7609427824,895.9854276814,638
Eagle,Colorado,362.3818777676,0,362.3818777676,1090.1281172083,639
Schuylkill,Pennsylvania,361.9420208538,0,361.9420208538,306.6359872434,640
New Kent,Virginia,1436.016298476,1074.819999995,361.196298481,1542.5122809772,641
Lee,North Carolina,359.7719252544,0,359.7719252544,194.1642577091,642
Pierce,Georgia,359.0596853856,0,359.0596853856,647.1198785056,643
Tooele,Utah,358.849217446,0,358.849217446,146.6086402836,644
Henderson,Texas,352.0073261437,0,352.0073261437,201.2318866527,645
Cleveland,North Carolina,351.8943722913,0,351.8943722913,187.9062744224,646
Rock Island,Illinois,350.356374597,0,350.356374597,637.6448772982,647
Franklin,North Carolina,347.2307676094,0,347.2307676094,454.5088822468,648
Adams,Mississippi,343.4271915598,0,343.4271915598,269.8991602304,649
Yakima,Washington,341.6875513225,0,341.6875513225,531.6104065157,650
Greene,Tennessee,341.5613595835,0,341.5613595835,673.1463077526,651
Autauga,Alabama,341.074664372,0,341.074664372,584.9083186857,652
Campbell,Virginia,338.5274240456,0,338.5274240456,225.6546599308,653
Codington,South Dakota,338.48870089,0,338.48870089,44.9624845049,654
Wyandotte,Kansas,337.4066354141,0,337.4066354141,108.7542307409,655
Barrow,Georgia,336.7480889911,0,336.7480889911,2070.3698779941,656
Faulkner,Arkansas,336.2494310261,0,336.2494310261,116.8029137035,657
Potter,Texas,335.5367071894,0,335.5367071894,233.2757824026,658
Erie,Ohio,335.253440324,0,335.253440324,95.1079954787,659
Wilson,Texas,334.233179128,0,334.233179128,98.3238912079,660
Grant,Louisiana,333.2211657875,0,333.2211657875,96.2768411843,661
Marion,Mississippi,332.359211569,0,332.359211569,321.0840769448,662
Oswego,New York,332.1059362691,0,332.1059362691,276.12545909,663
Hamilton,Florida,331.2443582198,0,331.2443582198,311.855745205,664
Cabell,West Virginia,331.2317822931,0,331.2317822931,514.2911982041,665
Nacogdoches,Texas,330.79050514,0,330.79050514,1091.8824752722,666
Jefferson,Tennessee,328.840973015,0,328.840973015,875.8086052679,667
Fredericksburg City,Virginia,328.1212010754,0,328.1212010754,378.4420143925,668
Brunswick,North Carolina,16384.5787209216,16057.1699999559,327.4087209657,6024.7946026244,669
Pitkin,Colorado,325.442505549,0,325.442505549,723.6550089051,670
Clark,Indiana,325.1399347481,0,325.1399347481,153.2416130461,671
Trinity,California,324.2484929913,0,324.2484929913,191.436240622,672
Greenwood,South Carolina,322.3821680653,0,322.3821680653,479.6133935928,673
Kittitas,Washington,321.901652387,0,321.901652387,489.086283155,674
Kleberg,Texas,816.8043623675,497.2600000017,319.5443623658,315.562777306,675
Roanoke,Virginia,318.1233044279,0,318.1233044279,752.0587688144,676
Union,Florida,314.277222546,0,314.277222546,164.5677703488,677
Morgan,Alabama,313.4535279393,0,313.4535279393,484.5034841427,678
Halifax,North Carolina,316.4685812738,5.02,311.4485812738,274.7180965451,679
Bladen,North Carolina,362.8402268118,52.4200000007,310.4202268111,508.4237999627,680
Lenoir,North Carolina,408.4152978201,98.7699999998,309.6452978203,1193.4438479146,681
Burnet,Texas,309.2688724232,0,309.2688724232,612.116502932,682
Macon,North Carolina,308.525474166,0,308.525474166,2082.1303834254,683
Lincoln,Mississippi,307.2514688246,0,307.2514688246,214.7657700439,684
Lincoln,Wyoming,307.031262099,0,307.031262099,43.5870698153,685
Monongalia,West Virginia,306.5175507392,0,306.5175507392,1130.0313258925,686
Benton,Oregon,304.1773282536,0,304.1773282536,652.0842503126,687
Portage,Ohio,303.3904448994,0,303.3904448994,306.2926372395,688
Morehouse,Louisiana,302.558929309,0,302.558929309,86.1913462474,689
Greene,Mississippi,302.42855682,0,302.42855682,326.64787828,690
Lowndes,Mississippi,301.2030617273,0,301.2030617273,128.108722581,691
Uinta,Wyoming,300.60203279,0,300.60203279,40.8187187714,692
Sussex,Virginia,297.230040293,0,297.230040293,426.3115771522,693
Garland,Arkansas,296.834622376,0,296.834622376,597.1222007293,694
Ontario,New York,296.2742145201,0,296.2742145201,242.439988401,695
Grand Traverse,Michigan,296.2042284416,0,296.2042284416,208.1013035245,696
Grayson,Texas,295.2919242359,0,295.2919242359,111.1469268758,697
Craighead,Arkansas,294.7166520045,0,294.7166520045,86.3526970773,698
Walton,Florida,10593.313785005,10301.1199999823,292.1937850227,4405.8853770003,699
Shawnee,Kansas,291.3825315904,0,291.3825315904,51.3793648773,700
Kendall,Texas,290.876815866,0,290.876815866,138.3665085624,701
Franklin,Pennsylvania,290.0641269684,0,290.0641269684,272.8394497219,702
Carbon,Pennsylvania,289.2972008408,0,289.2972008408,1732.6793267761,703
Polk,Oregon,288.0346863158,0,288.0346863158,709.0176677806,704
Chautauqua,New York,286.575227085,0,286.575227085,848.2207224264,705
Saline,Arkansas,283.2276984352,0,283.2276984352,93.809690887,706
Coconino,Arizona,280.4360216467,0,280.4360216467,688.1174941834,707
Racine,Wisconsin,277.272431051,0,277.272431051,43.9840372998,708
Grand Forks,North Dakota,276.2537349039,0,276.2537349039,281.571655235,709
Washington,Vermont,274.5805808612,0,274.5805808612,372.559463439,710
Weber,Utah,271.9944518879,0,271.9944518879,758.3469322378,711
Colorado,Texas,271.8690947519,0,271.8690947519,32.9777454889,712
Aroostook,Maine,268.6901199223,0,268.6901199223,564.5191499046,713
Wilkinson,Mississippi,268.1716690449,0,268.1716690449,190.2342122676,714
Fauquier,Virginia,265.3142351729,0,265.3142351729,196.5434428634,715
Franklin,Louisiana,264.6030565735,0,264.6030565735,72.5340123449,716
Franklin,Maine,261.3597131487,0,261.3597131487,240.6562788699,717
Somerset,Maine,261.175568589,0,261.175568589,559.9688330862,718
Crittenden,Arkansas,259.929439159,0,259.929439159,70.5635635876,719
Madison,Illinois,257.9552022215,0,257.9552022215,317.9729079579,720
Imperial,California,256.2390972674,0,256.2390972674,357.6002688584,721
Bonneville,Idaho,255.4411703253,0,255.4411703253,288.8761795992,722
Harrison,West Virginia,254.192649289,0,254.192649289,136.0369425044,723
Montgomery,Virginia,248.2689767157,0,248.2689767157,507.7536325326,724
Concordia,Louisiana,247.8317328663,0,247.8317328663,168.8427502526,725
Grant,Washington,245.1131525383,0,245.1131525383,544.6265667147,726
Mercer,West Virginia,244.20309057,0,244.20309057,17.452395427,727
Wood,Ohio,241.206051171,0,241.206051171,52.6557971264,728
Clarendon,South Carolina,241.0923713488,0,241.0923713488,575.080229318,729
Montgomery,New York,237.3823816824,0,237.3823816824,318.1129032768,730
Wayne,New York,236.3490529334,0,236.3490529334,88.6957167887,731
Tattnall,Georgia,235.8569897946,0,235.8569897946,108.3434180313,732
Lincoln,Maine,1114.6716475776,883.6699999965,231.0016475811,726.996306075,733
Chelan,Washington,229.4496068157,0,229.4496068157,155.5731530939,734
Colusa,California,226.8306002176,0,226.8306002176,292.1218043445,735
Summit,Colorado,223.7063702272,0,223.7063702272,181.7686579115,736
Leavenworth,Kansas,223.0705688502,0,223.0705688502,249.0731982891,737
White,Arkansas,215.5864523882,0,215.5864523882,46.0562374772,738
Washington,Pennsylvania,213.127114055,0,213.127114055,637.1768763566,739
Olmsted,Minnesota,211.1919041072,0,211.1919041072,700.8878951359,740
